Address,Balance
0xc702423c57d1754bcc97057cbefa6027acf0f0f2884e44b2cbfd03b5b6389140,299995582
0xaca8ffe504a748fe0d0ef130522e575cedca90f50b03574869759fb832bdb876,299928746
0x67ea5b0af80482c75874564247dbbd6ccdf7888ff1f96f087e2c3277c5b6fe7f,219996760
0x4f475f2763f8fea63838dacb71713b9fd1e858a95b9c3db1a5a1e0dcc5f919d8,199997055
0xe76f3dd902b4ec0efab558b043c9f6b54ba82769bb819f95443a29e21546bfba,199997055
0x241873d4d7f6aa515ca50a12ceee67835a7ce022b51adbcec1dd1857c49dc7ab,199997055
0x38e69ae8cde1f1ccf6bec229bd1e6019966a75c0157a6d7c08c38b45340afc78,152369879
0xd56b77ff3ab7bc1fdf63ebd88ea2f29c5f2edcafaee53d7b7b66e153a1319c63,149997791
0x9313ff6e7f9dda4b8c94ec3ddb7b829133243d0500e8f21aee882cc14cab392f,142956996
0x6be4af827660a4cf6a63112cd815357b9306779bce0cb76dc8ac14aea2b9cc05,140785341
0x47c05d879d2576c3e9731be81ccb2a887601fc1836593a1de9c6eca2572d5a34,140450516
0x22c45e03999aaecbe241775fd84f97072f83437bf6c5039771ddb3c32bbc4ef7,119998230
0x2f52393da4560c4b580b8e33933c4ef45ef1ea831b3ccf331b8fab157c842f83,115931785
0xd996736783d78de2f68e52f5e1a0587c7f2b6a2e9e86b9de6ac92b9620170337,109998380
0x13d9952e1a477c9ece8322973979db1bde2921b5ef888979b10a201cfbfffb0b,109998380
0xaffb6256423123dc2c4d58b97ce3a8b994ff31433fe8f5d75f2e31c4b1980b86,103662129
0xb37a88af0b747ce9fd52a17ba41fc7cf0cb3e61222e5d772239c4fb7f66ad6da,100998513
0xf111371762973eaa74e29cb8a794207fdc7f286c72bf7f019fac9139724123fd,100498520
0x3b471539a8636ac6fac5e74930624ab181a089bf0cfd5a8ab95d81bdc6ab47a6,100498520
0x29ee3349c2f641faec08209555f9cf03c116f36c53d5107c5331c81ef19c8951,100000000
0xba6ee74205508ad9e84034fb8ecf4e93652159a031f6faf0a482ab596c89807f,100000000
0xb50808e862e0e123d779f750abf3294e2e6d89332c00eeb2e101bdec8734cf2a,99998528
0x8dc5160226848dc5d85d78780572ed32d44c5693b37273355c1b45e241b8afe1,99998528
0x0c63ab81bee6e37fff81e0453f90cbe5fb9f8aaa541453b53b679c2260e32802,99998528
0x97b6d8499f77cafeb5b6dc9e3d1d7e416112069b1959be8119ffc15ff395a267,99998528
0x1652935a1e8f73684830e5f3813068a3a4f430a3f7b903b6358e902f36f01c75,99998528
0x72452fa4d5aed22b8ea008377d9aecc1d650dd7ff838e9ef3841418362f56507,99998528
0xedd94717b792e4f69bcc1cfae6d9bc2c38ef35ea512ce75b1aecd895e24156ea,99998528
0x20f2fcc4ef0cff0260f74dff7cec86579df1d8f3a71b20d0e9f27caf91981376,99998528
0xa8f5e3912c63fe8c16a7b035dc5010bd6db89ce376bdbb8a06ef78d3e0a29f6b,99998528
0x3f054d1a9b0204edf88c00ed2dd6a198d7aa250535e1c0401489d8752a182bd6,99998528
0x846aec9fb247014c23919a4f587e0ced0c8cb60e12a40f322d2f9d982fe471ff,99998528
0x56b67461e4adf596c1b17ab696f2f30306003e3ba09c3687acf8d8785d4cc72c,99998528
0x6ed08aa2c822cece9ad916bd6b382a8d24bd1a76add02ac00f6769eee745feff,99998527
0xd94e7a6a756edac65fa5ce63c418391fb571290b37e6e675062b4ad01bb8bec3,99989425
0x5d3b996af0374eea6aa984f5694df6497a36b33380165df4a25a8c720449eefc,74889989
0xcf0fbfeb7dc02e8979f87cc403b47204b6ebf36a2b2c3377bb049d17be3ef1c4,72901321
0x4573b829a64761545738338f25d6a63e75d90aa16bd4e9ccf35c702a0a42c353,57897633
0xbc0d82d4bcfe9a2235fdf455e080bf0e31cdaf45028a97f62551237cf4d2f8b8,49999264
0xf61730f4f75638cecfb5812bfbb5290f6775a252b7c11aa7e8730b99c9a38d29,49999264
0xd32f5045de8b7ecf3bf62293103a5af14be6b794051044aace85498d34c25171,48693494
0x83b1afae3a51ee40201610fee58dd64fa973fbf3e9962e98fe627854017cde44,45044982
0x02c810988b89e25a3e12781e00ef28374ddbdb2f37ef3b30bd4df8aff493f88d,39899410
0x28d1bb627f828a30f7c6872fca8bbfb30a197954677d24431673eac5746c10b1,31999529
